QNHTL:LIEA:85,977,80,994,75,1013,70,1050,60
QNHTL:LIPY:85,977,80,994,75,1013,70,1050,60
QNHTL:LIMW:175,977,170,994,165,1013,160,1050,150
QNHTL:LIBD:75,977,70,994,65,1013,60,1050,50
QNHTL:LIME:85,977,80,994,75,1013,70,1050,60
QNHTL:LIPE:85,977,80,994,75,1013,70,1050,60
QNHTL:LIPB:125,977,120,994,115,1013,110,1050,100
QNHTL:LIPO:85,977,80,994,75,1013,70,1050,60
QNHTL:LIBR:75,977,70,994,65,1013,60,1050,50
QNHTL:LIEE:85,977,80,994,75,1013,70,1050,60
QNHTL:LICC:95,977,90,994,85,1013,80,1050,70
QNHTL:LICB:95,977,90,994,85,1013,80,1050,70
QNHTL:LIBC:85,977,80,994,75,1013,70,1050,60
QNHTL:LIRQ:85,977,80,994,75,1013,70,1050,60
QNHTL:LIPK:85,977,80,994,75,1013,70,1050,60
QNHTL:LIMJ:95,977,90,994,85,1013,80,1050,70
QNHTL:LICA:85,977,80,994,75,1013,70,1050,60
QNHTL:LICD:55,977,50,994,45,1013,40,1050,50
QNHTL:LIML:85,977,80,994,75,1013,70,1050,60
QNHTL:LIMC:85,977,80,994,75,1013,70,1050,60
QNHTL:LIRN:105,977,100,994,95,1013,90,1050,100
QNHTL:LIEO:85,977,80,994,75,1013,70,1050,60
QNHTL:LICJ:75,977,70,994,65,1013,60,1050,50
QNHTL:LICG:75,977,70,994,65,1013,60,1050,50
QNHTL:LIRZ:85,977,80,994,75,1013,70,1050,60
QNHTL:LIBP:85,977,80,994,75,1013,70,1050,60
QNHTL:LIRP:85,977,80,994,75,1013,70,1050,60
QNHTL:LICR:95,977,90,994,85,1013,80,1050,70
QNHTL:LIPR:85,977,80,994,75,1013,70,1050,60
QNHTL:LIRA:85,977,80,994,75,1013,70,1050,60
QNHTL:LIRF:85,977,80,994,75,1013,70,1050,60
QNHTL:LIMF:85,977,80,994,75,1013,70,1050,60
QNHTL:LIPH:75,977,70,994,65,1013,60,1050,50
QNHTL:LIPZ:85,977,80,994,75,1013,70,1050,60
QNHTL:LIPX:85,977,80,994,75,1013,70,1050,60
QNHTL:LSZA:85,977,80,994,75,1013,70,1050,60
